SURVEY_ID,SURVEY_RESPNS_ID,SURVEY_AA_CUST_UNIQUE_ID,SEG_DEP_DT,SEG_DEP_AIRPRT_IATA_CD,SEG_ARVL_AIRPRT_IATA_CD,OPERAT_FLIGHT_NBR,FLEET_CD,SUBFLEET_CD,CABIN_FLOWN_CD,LIKELIHOOD_RECOMMEND_ORIG_LANG_TXT,LIKELIHOOD_RECOMMEND_SCL,NET_PROMO_CATG,Wifif Category
SV_4SJm25NwBp7FfRs,R_1mzOUlH8ItIbOgx,8178181171.0,2026-06-15,PHL,PDX,3090,321,32C,Y,"It was a long flight and we were only offered two beverages and one pack of wafers without the option to purchase any additional food. Also, unable to connect to WiFi",5,Detractor,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_5dS7K9pccoZeufn,8152922322.0,2026-02-26,MIA,EWR,1113,737,38K,Y,good service great wifi,10,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_19TJEjBqt7xpaw1,1717539.0,2026-05-28,PHX,BOS,1564
,321,32E,Y,"kind of bumpy, but not in your control  helped me with wifi",7,Passive,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_1con49yy4krrlQF,918058145.0,2026-01-26,LGA,STL,4461,EMJ,E7R,Y,Update planes and wifi,1,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_3W7SMevn2d2CioF,1754861368.0,2026-08-03,YYC,DFW,2521,321,A21,Y,There was lots of leg room and the seats were comfortable. Plus there was free wifi,9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_6dR4xDVaIDtXSNb,8162410399.0,2026-06-15,MCI,CLT,1297,737,38R,Y,Flight crew was friendly and the boarding and deplaning process was smooth. Drink and snack service was limited and there aren't options for entertainment and couldn't connect to wifi,5,Detractor,Wi-Fi Connectivity Issues
SV_4SJm25NwBp7FfRs,R_1KHesDyVw2i9jLj,1158720100.0,2026-06-10,VCE,PHL,715,787,788,Y,"Friendly employees, free wifi",9,Promoter,Satisfied with Wi-Fi Experience
SV_4SJm25NwBp7FfRs,R_1EiluN7EIQBRHkk,554887404.0,2026-08-13,BCN,PHL,743,787,788,Y,No Wifi,5,Detractor,Wi-Fi Unavailable
SV_4SJm25NwBp7FfRs,R_1ceLlc2svGbgNfl,880339599.0,2026-05-23,FLL,PHL,1850,319,A19,Y,The flight was on time. And free wifi,10,Promoter,Satisfied with Wi-Fi Experience
